#,Person,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Fastest Solve,Country
1,Yusheng Du (杜宇生),1113,347,880,DNF,707,347,China
2,Max Park,363,552,566,537,522,363,USA
3,Jode Brewster,1034,968,718,617,388,388,Australia
4,Asher Kim-Magierek,601,668,389,683,822,389,USA
5,Tymon Kolasiński,397,665,561,581,666,397,Poland
6,Tymon Kolasiński,402,468,533,456,559,402,Poland
7,Max Siauw,620,839,403,672,DNF,403,USA
8,Ruihang Xu (许瑞航),548,552,545,406,751,406,China
9,Max Park,560,636,409,424,701,409,USA
10,Tymon Kolasiński,639,584,677,585,411,411,Poland
11,Matty Hiroto Inaba,413,588,569,722,616,413,USA
12,Feliks Zemdegs,638,416,760,667,827,416,Australia
13,Max Park,418,575,572,487,544,418,USA
14,Max Park,543,528,419,526,720,419,USA
15,Max Park,544,618,568,576,420,420,USA
16,Feliks Zemdegs,492,697,422,727,689,422,Australia
17,Max Siauw,873,422,637,759,686,422,USA
18,Tymon Kolasiński,566,578,615,445,422,422,Poland
19,Patrick Ponce,424,877,708,654,730,424,USA
20,Tymon Kolasiński,628,604,555,424,466,424,Poland
21,Kyle Santucci,775,686,426,547,682,426,Canada
22,Matty Hiroto Inaba,745,592,516,427,579,427,USA
23,Luke Garrett,428,577,565,671,583,428,USA
24,Feliks Zemdegs,748,697,692,429,554,429,Australia
25,Max Park,541,596,532,641,429,429,USA
26,Leo Borromeo,529,547,672,497,431,431,Philippines
27,Sebastian Weyer,432,745,676,789,665,432,Germany
28,Max Park,603,558,561,637,433,433,USA
29,Matty Hiroto Inaba,645,620,539,648,434,434,USA
30,Tymon Kolasiński,719,436,628,805,498,436,Poland
31,Tymon Kolasiński,436,526,880,555,609,436,Poland
32,Matty Hiroto Inaba,436,582,524,689,596,436,USA
33,Patrick Ponce,437,670,590,685,DNF,437,USA
34,Caio Hideaki Sato,640,437,774,712,597,437,Brazil
35,Mihir Narayan,615,646,725,437,826,437,India
36,Nicolás Sánchez,829,828,751,789,438,438,USA
37,Max Park,592,438,710,683,480,438,USA
38,Max Park,830,438,641,606,502,438,USA
39,Dominic Redisi,750,686,700,438,876,438,USA
40,Twan Dullemond,438,883,644,624,673,438,Netherlands
41,Max Park,636,440,565,639,750,440,USA
